,NumUniqueAdresses
2009-12-14 18:15:05,114.0
2009-12-15 18:15:05,117.0
2009-12-16 18:15:05,122.0
2009-12-17 18:15:05,164.0
2009-12-18 18:15:05,202.0
2009-12-19 18:15:05,225.0
2009-12-20 18:15:05,175.0
2009-12-21 18:15:05,188.0
2009-12-22 18:15:05,152.0
2009-12-23 18:15:05,169.0
2009-12-24 18:15:05,144.0
2009-12-25 18:15:05,159.0
2009-12-26 18:15:05,159.0
2009-12-27 18:15:05,170.0
2009-12-28 18:15:05,138.0
2009-12-29 18:15:05,164.0
2009-12-30 18:15:05,156.0
2009-12-31 18:15:05,150.0
2010-01-01 18:15:05,119.0
2010-01-02 18:15:05,132.0
2010-01-03 18:15:05,163.0
2010-01-04 18:15:05,193.0
2010-01-05 18:15:05,208.0
2010-01-06 18:15:05,158.0
2010-01-07 18:15:05,159.0
2010-01-08 18:15:05,150.0
2010-01-09 18:15:05,148.0
2010-01-10 18:15:05,191.0
2010-01-11 18:15:05,154.0
2010-01-12 18:15:05,169.0
2010-01-13 18:15:05,162.0
2010-01-14 18:15:05,160.0
2010-01-15 18:15:05,137.0
2010-01-16 18:15:05,135.0
2010-01-17 18:15:05,124.0
2010-01-18 18:15:05,130.0
2010-01-19 18:15:05,121.0
2010-01-20 18:15:05,140.0
2010-01-21 18:15:05,186.0
2010-01-22 18:15:05,151.0
2010-01-23 18:15:05,153.0
2010-01-24 18:15:05,148.0
2010-01-25 18:15:05,207.0
2010-01-26 18:15:05,208.0
2010-01-27 18:15:05,178.0
2010-01-28 18:15:05,174.0
2010-01-29 18:15:05,195.0
2010-01-30 18:15:05,181.0
2010-01-31 18:15:05,210.0
2010-02-01 18:15:05,188.0
2010-02-02 18:15:05,142.0
2010-02-03 18:15:05,244.0
2010-02-04 18:15:05,236.0
2010-02-05 18:15:05,250.0
2010-02-06 18:15:05,193.0
2010-02-07 18:15:05,212.0
2010-02-08 18:15:05,221.0
2010-02-09 18:15:05,211.0
2010-02-10 18:15:05,165.0
2010-02-11 18:15:05,180.0
2010-02-12 18:15:05,194.0
2010-02-13 18:15:05,226.0
2010-02-14 18:15:05,214.0
2010-02-15 18:15:05,194.0
2010-02-16 18:15:05,185.0
2010-02-17 18:15:05,241.0
2010-02-18 18:15:05,234.0
2010-02-19 18:15:05,185.0
2010-02-20 18:15:05,224.0
2010-02-21 18:15:05,218.0
2010-02-22 18:15:05,262.0
2010-02-23 18:15:05,252.0
2010-02-24 18:15:05,195.0
2010-02-25 18:15:05,150.0
2010-02-26 18:15:05,176.0
2010-02-27 18:15:05,176.0
2010-02-28 18:15:05,165.0
2010-03-01 18:15:05,187.0
2010-03-02 18:15:05,203.0
2010-03-03 18:15:05,150.0
2010-03-04 18:15:05,187.0
2010-03-05 18:15:05,178.0
