"CostPerTransactionPercent","seasonal","trend","remainder"
3250,-66189.9221582565,67113.9373257466,2325.98483250987
75.3968253968,-66278.5737081086,67342.3986544137,-988.428120908255
249.612002069,-66032.6481297701,67818.3697693984,-1536.10963755923
577.53669432,-65547.5740642736,68294.340884383,-2169.23012578941
333.962264151,-54736.9076701109,68491.9976473666,-13421.1277131047
276.771200674,-54826.3840083276,68689.6544103502,-13586.4992013486
651.031923014,-54580.9313079929,68870.4325810754,-13638.4693500684
37.9591836735,-54095.891358726,69051.2107518005,-14917.360209401
389.682019472,-40072.0952604254,69257.4527032761,-28795.6754233788
205.938606624,-40162.3963870067,69463.6946547518,-29095.3596611211
510.526315789,-39917.4165646758,69686.9883114368,-29259.0454309719
263.01369863,-39432.4107316385,69910.2819681217,-30214.8575378533
1918.18181818,-71557.018557885,70039.8685248966,3435.33185116843
985.714285714,-71648.1444728308,70169.4550816714,2464.40367687344
641.338871244,-71403.6375285039,70228.2528898462,1816.72350990164
528.571428571,-70918.6658116961,70287.0506980211,1160.18654224598
496.488688432,-73242.8880846809,70279.0349972092,3460.34177590365
394.005421135,-74820.5901431138,70271.0192963973,4943.57626785147
197.149175418,-76062.3074319132,70197.2331680864,6062.22343924483
70.3551528114,-77063.1211864575,70123.4470397754,7010.02929949347
175.483580011,-96903.446205306,70002.4657963025,27076.4639890145
301.111797406,-98481.9730521035,69881.4845528295,28901.60029668
367.218393285,-99724.1632189067,69740.5758880305,30350.8057241612
52.5433384023,-100725.011089681,69599.6672232316,31177.8872048513
114.76524505,-91427.0433508098,69447.4433664942,22094.3652293655
45.9374759199,-93024.3817754826,69295.2195097569,23775.0997416456
251.753885402,-94285.0316098006,69159.518272049,25377.2672231535
194.214354383,-95303.9003863148,69023.8170343411,26474.2977063567
22.4821959561,-52817.2665826334,68870.361012707,-16030.6122341175
131.317373288,-55853.9783409836,68716.9049910728,-12731.6092768012
133.655123956,-58553.6495986182,68612.8704613184,-9925.56573874418
150.057474844,-61011.1010366748,68508.835931564,-7347.67742004515
119.343030367,-65876.0221872977,68428.3982412237,-2433.03302355901
32.1056950805,-67409.8205893792,68347.9605508834,-906.034266423754
280.099974145,-68606.2265803842,68310.4305389901,575.896015539125
40.0050085367,-69559.9739900371,68272.9005270968,1327.07847147701
163.462795868,-64985.5394792791,68260.9284649077,-3111.92618976063
