"Date","seasonal","trend","remainder"
15419,-37.2218186455528,15398.9130364536,57.308782191938
15420,-36.4080136149288,15398.9080453187,57.499968296217
15421,-36.3687851404486,15398.9030541838,58.4657309566373
15422,-36.3291453990181,15398.9006593535,59.4284860455246
15423,-36.293723241219,15398.8982645232,60.3954587180397
15424,-35.3422346978649,15398.8968747382,60.44535995968
15425,-35.3174508349337,15398.8954849532,61.4219658817456
15426,-35.2922526149922,15398.8914480475,62.4008045675073
15427,-35.2712468909861,15398.8874111418,63.3838357492023
15428,-34.3320413253688,15398.8733000476,63.4587412777273
15429,-34.3252321969686,15398.8591889535,64.4660432434703
15430,-34.3180056214983,15398.8433264572,65.4746791643429
15431,-34.3149464542672,15398.8274639608,66.4874824934541
15432,-33.4154046595156,15398.8239584586,66.5914462009277
15433,-33.3941564917441,15398.8204529564,67.5737035353814
15434,-33.3724877868426,15398.8194156699,68.5530721169707
15435,-33.3549614024843,15398.8183783834,69.536583019104
15436,-32.3099996749636,15398.8179236583,69.4920760166697
15437,-32.2924347162352,15398.8174689332,70.4749657830253
15438,-32.2744461303169,15398.8170196464,71.4574264839448
15439,-32.2605747772458,15398.8165703595,72.4440044177118
15440,-31.3263168430516,15398.8161066978,72.510210145203
15441,-31.3087546704121,15398.8156430362,73.4931116342486
15442,-31.2907657805227,15398.8156037762,74.4751620042771
15443,-31.2768690357845,15398.8155645163,75.4613045194565
15444,-30.2280031441097,15398.815520225,75.4124829190932
15445,-30.2106193238024,15398.8154759337,76.3951433900966
15446,-30.1928056961852,15398.8149366018,77.3778690943691
15447,-30.1790591260232,15398.8143972699,78.3646618560961
15448,-29.4347317405038,15398.7928578343,78.6418739062228
15449,-29.4173507062853,15398.7713183986,79.6460323076499
15450,-29.3995367746971,15405.4169337041,73.982603070559
15451,-29.385764812868,15412.0625490096,68.323215803226
15452,-28.3418241353874,15412.0618122689,68.2800118665346
15453,-28.3224555635425,15412.0610755281,69.2613800354811
15454,-28.3026510042679,15412.1740765236,70.1285744806246
15455,-28.2868633270564,15412.2870775192,70.9997858078295
15456,-27.2234673273452,15412.3132391121,70.9102282152489
15457,-27.2220826801708,15412.339400705,71.8826819752067
15458,-27.2202589555067,15436.483338695,48.736920260495
15459,-27.2224270252096,15460.6272766851,25.5951503401484
15460,-26.2133896556137,15520.9604258004,-34.7470361447649
15461,-26.2091215823675,15581.2935749157,-94.0844533333257
15462,-26.2044113955291,15581.2935993211,-93.0891879255742
15463,-26.203667888383,15581.2936237265,-92.0899558381298
15464,-25.205758636251,15581.2936668879,-92.0879082516949
15465,-25.1995568181008,15581.2937100494,-91.0941532312791
15466,-25.1929098502559,15581.2937760532,-90.1008662029089
15467,-25.1902044474286,15581.2938420569,-89.103637609518
15468,-24.1977604946875,15581.2939424146,-89.0961819198783
15469,-24.1746100069047,15581.2940427722,-88.1194327652811
15470,-24.1510113333248,15581.294209296,-87.1431979627159
15471,-24.1313291100877,15581.2943758199,-86.1630467098075
15472,-23.1287099030972,15581.2946644173,-86.1659545141792
15473,-23.1037731139008,15581.2949530147,-85.1911799007576
15474,-23.0783851028047,15581.2953705796,-84.2169854768126
15475,-23.0568884273767,15581.2957881446,-83.2388997172002
15476,-22.4480162569912,15581.2963212275,-82.8483049705228
15477,-22.4230822269049,15581.2968543104,-81.8737720835434
15478,-22.3976939388163,15581.2974901971,-80.8997962582471
15479,-22.3761718717212,15581.2981260837,-79.9219542119572
15480,-21.3853113686212,15581.2988435863,-79.9135322177208
15481,-21.3606119872738,15581.299561089,-78.9389491017337
15482,-21.3354552447503,15581.3003348816,-77.9648796368074
15483,-21.3141396085454,15581.3011086741,-76.9869690655651
15484,-20.2734850762105,15581.30191039,-77.0284253138343
15485,-20.2487885210445,15581.302712106,-76.0539235849355
15486,-20.2236315015286,15581.3035135709,-75.0798820693344
15487,-20.2022904736566,15581.3043150357,-74.1020245620875
15488,-19.2116279498894,15581.3050919145,-74.0934639646021
15489,-19.1873399679329,15581.3058687932,-73.1185288253073
15490,-19.1625884184524,15581.3066037624,-72.1440153439071
15491,-19.1416277459413,15581.3073387315,-71.1657109855369
15492,-18.1655041238934,15581.3080237126,-71.1425195886932
15493,-18.1560387969078,15581.3087086937,-70.1526698967864
15494,-18.1461067992245,15581.3093457125,-69.1632389132919
15495,-18.1399422129539,15581.3099827313,-68.1700405183838
15496,-17.2227288955014,15581.310583205,-68.087854309535
15497,-17.1983732510682,15581.3111836787,-67.1128104276668
15498,-17.1735478327635,15581.3117663489,-66.1382185161656
15499,-17.1524663603149,15581.3123490191,-65.1598826588088
15500,-16.201754945327,15581.312937211,-65.1111822656785
15501,-16.1625822982858,15581.3135254029,-64.1509431045997
15502,-16.1229367741991,15581.3141455063,-63.1912087320943
15503,-16.0870117304121,15581.3147656097,-62.2277538792896
15504,-15.1751568064154,15581.3154495011,-62.1402926946739
15505,-15.1518884469238,15581.3161333925,-61.1642449455521
15506,-15.128144107213,15581.3169115146,-60.1887674073478
15507,-15.1080967822453,15581.3176896366,-59.2095928544004
15508,-14.2560339063835,15581.3186268486,-59.0625929422567
15509,-14.2327683730734,15581.3195640606,-58.0867956875627
15510,-14.2090237563702,15581.3209571221,-57.1119333657207
15511,-14.1889526888536,15581.3223501835,-56.1333974946901
15512,-13.2893093458808,15581.3244089165,-56.0350995706249
15513,-13.2501451773839,15581.3264676495,-55.0763224720849
15514,-13.2104989956928,15581.3286457903,-54.1181467945771
15515,-13.1745025508863,15581.3308239311,-53.1563213801855
15516,-12.3431011222873,15581.3330011734,-52.9899000511614
15517,-12.3154710829291,15581.3351784158,-52.0197073328964
15518,-12.2873561005756,15581.3379054282,-51.0505493276487
15519,-12.2628670428046,15581.3406324406,-50.0777653978203
15520,-11.4137661229289,15581.3437480456,-49.9299819226944
15521,-11.3861389097521,15581.3468636506,-48.9607247408676
15522,-11.358023823779,15581.3487770855,-47.9907532617235
15523,-11.3335108500863,15581.3506905204,-47.017179670298
15524,-10.4217250746079,15581.3431763038,-46.9214512291583
15525,-10.3825693846555,15581.3356620871,-45.9530927024898
15526,-10.3429228921055,15581.3303082758,-44.9873853837216
15527,-10.3068546995339,15581.3249544645,-44.0180997649732
15528,-9.43034951304328,15581.2559809277,-43.8256314146111
15529,-9.39119664927224,15581.1870073908,-42.7958107415288
15530,-9.35155005310268,15581.2877967854,-41.9362467322771
15531,-9.31545794460942,15581.38858618,-41.0731282353499
15532,-8.42415060570329,15581.2616801806,-40.8375295748683
15533,-8.38500056811371,15581.1347741812,-39.7497736130681
15534,-8.34535386832452,15581.2540499838,-38.908696115519
15535,-8.30923784390957,15581.3733257865,-38.0640879425973
15536,-7.42145212086973,15581.3651716293,-37.9437195084211
15537,-7.38230490946162,15581.3570174721,-36.9747125626163
15538,-7.3426581060528,15581.3556599768,-36.0130018707441
15539,-7.30651816571617,15581.3543024815,-35.0477843157987
15540,-6.41594057772801,15581.3536151311,-34.9376745533627
15541,-6.37679619250135,15581.3529277807,-33.9761315881678
15542,-6.33714928547291,15581.3519709431,-33.0148216576399
15543,-6.3009854292146,15581.3510141056,-32.0500286763418
15544,-5.34352434369279,15581.3503500621,-32.0068257184375
15545,-5.30438278464759,15581.3496860187,-31.0453032340556
15546,-5.26473577399952,15581.3491946224,-30.0844588483524
15547,-5.22854800181952,15581.348703226,-29.1201552241801
15548,-4.30067287068137,15581.3482228605,-29.0475499897711
15549,-4.27332326347537,15581.3477424949,-28.0744192314287
15550,-4.24546527486543,15581.3476618673,-27.1021965923883
15551,-4.22104271242148,15581.3475812396,-26.1265385271836
15552,-3.36982161313308,15581.3479209091,-25.9780992960023
15553,-3.35437929522749,15581.3482605787,-24.9938812834353
15554,-3.33842566611687,15581.348723768,-24.0102981018536
15555,-3.32588365087018,15581.3491869573,-23.0233033064087
15556,-2.40462575236602,15581.3496984931,-22.9450727407311
15557,-2.37739713498414,15581.3502100289,-21.9728128939332
15558,-2.34965427659615,15581.3507051899,-21.0010509133335
15559,-2.32529921977004,15581.3512003509,-20.0259011311737
15560,-1.41972062096435,15581.3516263419,-19.9319057209505
15561,-1.38059036664499,15581.3520523329,-18.9714619662409
15562,-1.34094294151842,15581.3523848574,-18.0114419158745
15563,-1.30465950565168,15581.3527173819,-17.0480578762508
15564,-0.394427704418072,15581.3529513852,-16.958523680767
15565,-0.366243048495753,15581.3531853885,-15.9869423399705
15566,-0.337538291965152,15581.3533292667,-15.0157909747722
15567,-0.312173712392305,15581.353473145,-14.041299432618
15568,0.580627904958952,15581.3535459451,-13.9341738500916
15569,0.608809734699812,15581.3536187453,-12.9624284799538
15570,0.637514594850038,15581.3536470263,-11.9911616211812
15571,0.662903090344572,15581.3536753074,-11.0165783977536
15572,1.60158776032295,15581.3536895182,-10.9552772785664
15573,1.64070953609794,15581.3537037291,-9.99441326517444
15574,1.68035727208338,15581.3537343298,-9.03409160191768
15575,1.71671245571518,15581.3537649306,-8.07047738630354
15576,2.49633727327385,15581.3538386122,-7.85017588549454
15577,2.53545622286738,15581.3539122939,-6.8893685167186
15578,2.57510406247244,15581.3540487661,-5.92915282861759
15579,2.61148316202594,15581.3541852384,-4.9656684004658
15580,3.5029253479307,15581.3543950798,-4.85732042773998
15581,3.54204147134278,15581.3546049212,-3.89664639251714
15582,3.58168941456746,15581.3548889726,-2.93657838716899
15583,3.61809243004264,15581.355173024,-1.97326545407122
15584,4.60405222013047,15581.3555234601,-1.95957568021549
15585,4.64316551736108,15581.3558738961,-0.999039413502032
15586,4.68281356420539,15581.3562766344,-0.039090198577469
15587,4.71924049560226,15581.3566793726,0.924080131795563
15588,5.60394643957954,15581.3571172175,1.03893634295673
15589,5.63639501866441,15581.3575550623,2.00604991901128
15590,5.66938127716407,15581.3580110185,2.97260770429602
15591,5.69917023251834,15581.3584669748,3.94236279272809
15592,6.61158861777496,15581.3589272457,4.02948413655395
15593,6.63778937533904,15581.3593875166,5.00282310807415
15594,6.66453074211899,15581.3598438096,5.9756254483309
15595,6.68809861805562,15581.3603001025,6.95160127943018
15596,7.63684798733278,15581.3607509759,7.00240103680517
15597,7.66301179624199,15581.3612018492,7.97578635455102
15598,7.68971914416815,15581.3616527174,8.94862813842155
15599,7.71327681355306,15581.3621035856,9.92461960083347
15600,8.49933493811876,15581.3625652624,10.1380997994329
15601,8.53174091618585,15581.3630269393,11.1052321445313
15602,8.56469336307097,15581.3635128011,12.0717938358066
15603,8.59451994371688,15581.363998663,13.0414813933203
15604,9.55293588340341,15581.3645207214,13.0825433951868
15605,9.58259198541034,15581.3650427799,14.052365234731
15606,9.61279748603638,15581.3656075339,15.021594980064
15607,9.63990093272528,15581.3661722879,15.9939267793325
15608,10.6473865075077,15581.3667774039,15.9858360886301
15609,10.6770398783183,15581.3673825198,16.9555776018988
15610,10.7072453875789,15581.3680151874,17.9247394250251
15611,10.7343727501895,15581.368647855,18.8969793947981
15612,11.6530170746638,15581.3692853162,18.9776976091507
15613,11.6921107785945,15581.3699227774,19.9379664440476
15614,11.7317593608059,15581.3705348441,20.8977057950469
15615,11.7683537036546,15581.3711469109,21.8604993854078
15616,12.6769096988086,15581.3716999878,21.9513903134266
15617,12.7160006715429,15581.3722530646,22.911746263866
15618,12.7556492623889,15581.3727149518,23.8716357857884
15619,12.7922675211592,15581.3731768391,24.8345556397871
15620,13.6520733645819,15581.3735213996,24.9744052357782
15621,13.6911616061199,15581.3738659602,25.9349724336535
15622,13.7308102056003,15581.3740758185,26.8951139758592
15623,13.7674523802924,15581.3742856769,27.8582619428489
15624,14.6706204093626,15581.3743494101,27.9550301805302
15625,14.6956538451057,15581.3744131434,28.9299330115409
15626,14.7212503786222,15581.3743246159,29.9044250054976
15627,14.7438643946374,15581.3742360884,30.8818995169568
15628,15.5738415258959,15581.3740011234,31.0521573506994
15629,15.598872136296,15581.3737661584,32.0273617053044
15630,15.624468678447,15581.3734021386,33.0021291829562
15631,15.6471066103839,15581.3730381188,33.9798552708198
15632,16.5123678019569,15581.3728046294,34.1148275686501
15633,16.5514476616125,15581.37257114,35.0759811983989
15634,16.5910962869964,15581.371630175,36.037273537966
15635,16.6278102094535,15581.3706892101,37.0015005804617
15636,17.6006736034014,15581.3695186195,37.0298077771331
15637,17.622607501581,15581.3683480288,38.0090444695743
15638,17.6451129994664,15581.3672904372,38.98759656332
15639,17.6647077017123,15581.3662328456,39.9690594527074
15640,18.5225624486524,15581.3640748837,40.1133626676783
15641,18.5444935214889,15581.3619169218,41.0935895567509
15642,18.5669990280089,15581.3591172163,42.0738837556764
15643,18.5866163909056,15581.3563175109,43.0570660982266
15644,19.4741638593752,15581.3428284946,43.1830076460592
15645,19.5132352430016,15581.3293394783,44.1574252787359
15646,19.552883894289,15581.3087993178,45.1383167879558
15647,19.5896670539695,15581.2882591572,46.1220737887816
15648,20.5482075411585,15581.2877601463,46.1640323125594
15649,20.5872760994418,15581.2872611353,47.1254627652415
15650,20.6269247593637,15581.3207991228,48.0522761178108
15651,20.6637305796951,15581.3543371103,48.9819323099709
15652,21.6647480177677,15581.3625623739,48.9726896083484
15653,21.6871267095831,15581.3707876374,49.9420856529832
