"BlockSize","seasonal","trend","remainder"
0,1564.08341566396,2367.16816286338,-3931.25157852734
0,1566.16881926103,2347.25633404042,-3913.42515330144
0,1568.25425360095,2326.40866820089,-3894.66292180183
0,1570.16493896379,2305.56100236135,-3875.72594132514
0,1594.5754643274,2284.08256348671,-3878.65802781411
0,1596.66086757376,2262.60412461207,-3859.26499218583
0,1598.74630191368,2240.85234342934,-3839.59864534302
0,1600.65823582589,2219.10056224661,-3819.7587980725
0,1624.37257330122,2197.22603666506,-3821.59860996628
0,1626.45797619687,2175.35151108351,-3801.80948728038
0,1628.5434105368,2153.27625761499,-3781.81966815178
0,1630.45659299838,2131.20100414646,-3761.65759714484
0,1654.03280942913,2108.88503384118,-3762.91784327032
0,1656.11821197408,2086.56906353591,-3742.68727550999
0,1658.20364631401,2064.11608256962,-3722.31972888363
0,1660.11807732497,2041.66310160333,-3701.7811789283
0,1680.67436986892,2019.16929188967,-3699.84366175859
0,1682.75977206317,1996.67548217601,-3679.43525423918
0,1684.84520640309,1974.18527473084,-3659.03048113393
0,1686.76088596343,1951.69506728567,-3638.45595324909
0,1707.49952843684,1929.37250643981,-3636.87203487665
0,1709.58493028039,1907.04994559395,-3616.63487587433
0,1711.67036462031,1884.82856416824,-3596.49892878855
0,1713.58729273001,1862.60718274253,-3576.19447547254
0,1738.27576565367,1840.23130351715,-3578.50706917082
0,1740.36116714652,1817.85542429178,-3558.21659143829
0,1742.44660148644,1795.57373651668,-3538.02033800312
0,1744.36477814552,1773.29204874158,-3517.6568268871
0,1771.47105800536,1751.26693841256,-3522.73799641791
0,1773.5564591475,1729.24182808353,-3502.79828723103
0,1775.64189348742,1707.3015845211,-3482.94347800853
0,1777.56131869588,1685.36134095868,-3462.92265965456
0,1802.37606969088,1663.45188641685,-3465.82795610772
0,1804.46147048232,1641.54243187501,-3446.00390235733
0,1806.54690482224,1619.8175783781,-3426.36448320034
0,1808.46757858007,1598.09272488119,-3406.56030346126
0,1831.94376929044,1576.4225873191,-3408.36635660954
0,1834.02916973117,1554.75244975701,-3388.78161948819
0,1836.1146040711,1532.70339017966,-3368.81799425075
0,1838.0365263783,1510.6543306023,-3348.6908569806
0,1860.48178376562,1488.3901937532,-3348.87197751882
0,1862.56718385565,1466.1260569041,-3328.69324075975
0,1864.65261819557,1443.7503921478,-3308.40301034337
0,1866.57578905215,1421.3747273915,-3287.95051644365
0,1892.4285582676,1398.80174947432,-3291.23030774192
0,1894.51395800693,1376.22877155715,-3270.74272956408
0,1896.59939234685,1353.84412759402,-3250.44351994087
0,1898.5238117528,1331.4594836309,-3229.98329538369
0,1917.42605806649,1309.67993721238,-3227.10599527887
0,1919.51145745512,1287.90039079387,-3207.41184824899
0,1921.59689179504,1266.67164753568,-3188.26853933072
0,1923.52255975036,1245.44290427749,-3168.96546402785
0,1941.57568846157,1224.16298362731,-3165.73867208888
0,1943.6610874995,1202.88306297714,-3146.54415047664
0,1945.74652183942,1181.63824281961,-3127.38476465903
0,1947.67343834411,1160.39342266209,-3108.0668610062
0,1974.64962186352,1138.95471425452,-3113.60433611803
0,1976.73502055074,1117.51600584695,-3094.25102639769
0,1978.82045489067,1095.55863628471,-3074.37909117537
0,1980.74861994473,1073.60126672247,-3054.3498866672
0,2005.9411780663,1051.21475639473,-3057.15593446103
0,2008.02657640283,1028.82824606699,-3036.85482246981
0,2010.11201074275,1006.10274215529,-3016.21475289803
0,2012.04142434619,983.377238243582,-2995.41866258977
0,2037.13603124504,960.473350198175,-2997.60938144322
0,2039.22142923086,937.569462152769,-2976.79089138363
0,2041.30686357079,914.644134964408,-2955.9509985352
0,2043.2375257236,891.718807776047,-2934.95633349965
0,2065.73935493998,868.834875595777,-2934.57423053576
0,2067.8247525751,845.950943415507,-2913.7756959906
0,2069.91018691502,823.118050761171,-2893.02823767619
0,2071.84209761721,800.285158106834,-2872.12725572404
0,2092.0018556782,777.361675805925,-2869.36353148413
0,2094.08725296262,754.438193505016,-2848.52544646764
0,2096.17268730254,731.507003228741,-2827.67969053128
0,2098.1058465541,708.575812952467,-2806.68165950657
0,2118.52911760456,685.611109390451,-2804.14022699501
0,2120.61451453828,662.646405828435,-2783.26092036671
0,2122.6999488782,639.777445839235,-2762.47739471743
0,2124.63435667913,616.908485850034,-2741.54284252917
0,2146.20329389781,594.242105443703,-2740.44539934151
0,2148.28869048082,571.575725037372,-2719.86441551819
0,2150.37412482074,549.045185725251,-2699.41931054599
0,2152.30978117105,526.51464641313,-2678.82442758418
0,2178.66953049681,504.068032521315,-2682.73756301812
0,2180.75492672911,481.621418629499,-2662.37634535861
0,2182.84036106904,459.096593210926,-2641.93695427996
0,2184.77726596872,436.571767792353,-2621.34903376107
0,2215.3022843971,413.910296444562,-2629.21258084167
0,2217.38768027871,391.248825096771,-2608.63650537548
0,2219.47311461863,368.461468662127,-2587.93458328076
0,2221.41126806769,345.674112227483,-2567.08538029517
0,2248.50134113593,322.855816164411,-2571.35715730034
0,2250.58673666683,300.037520101339,-2550.62425676817
0,2252.67217100676,277.237497634548,-2529.9096686413
0,2254.61157300519,254.437475167756,-2509.04904817294
0,2276.85598634988,231.659735826992,-2508.51572217687
0,2278.94138153008,208.881996486229,-2487.82337801631
0,2281.02681587,186.205737997494,-2467.2325538675
0,2282.96746641781,163.52947950876,-2446.49694592657
0,2304.02599777673,140.700671623011,-2444.72666939974
0,2306.11139260623,117.871863737263,-2423.98325634349
0,2308.19682694615,94.7033215896345,-2402.90014853579
0,2310.13872604333,71.534779442006,-2381.67350548533
0,2329.81379894857,48.2707434043171,-2378.08454235289
0,2331.89919340605,25.0067073666282,-2356.90590077267
0,2333.98462774597,1.36188431224118,-2335.34651205821
0,2335.92777539252,-22.2829387421458,-2313.64483665037
0,2355.12286816862,-46.5084429341495,-2308.61442523447
0,2357.20826225407,-70.7339471261531,-2286.47431512792
0,2359.29369659399,-95.0993025335081,-2264.19439406049
0,2361.23809278992,-119.464657940863,-2241.77343484905
0,2381.55377177868,-142.081320745086,-2239.4724510336
0,2383.63916549212,-164.697983549308,-2218.94118194281
0,2385.72459983204,-181.729094375236,-2203.9955054568
0,2387.67024457734,-198.760205201164,-2188.91003937617
0,2408.07429671096,-211.571389893575,-2196.50290681739
0,2410.15969005237,-224.382574585986,-2185.77711546639
0,2412.2451243923,-236.670482067544,-2175.57464232475
0,2414.19194703117,-248.958389549103,-2165.23355748207
0,2434.49274394896,-302.974666415504,-2131.51807753346
0,2436.57813691835,-356.990943281904,-2079.58719363645
0,2438.66357125827,-380.641275192833,-2058.02229606544
0,2440.61157179072,-404.291607103762,-2036.31996468696
0,2463.11460709777,-452.080956655281,-2011.03365044249
0,2465.19999969514,-499.870306206799,-1965.32969348834
0,2467.28543403506,-508.400360845063,-1958.88507319
0,2469.23461246109,-516.930415483327,-1952.30419697776
0,2488.56135779825,-536.885549951981,-1951.67580784627
0,2490.64675002359,-556.840684420635,-1933.80606560296
0,2492.73218436352,-576.764179422144,-1915.96800494137
0,2494.68254068312,-596.687674423653,-1897.99486625947
0,2511.8155516405,-608.798764014674,-1903.01678762583
0,2513.90094349383,-620.909853605695,-1892.99108988814
0,2515.98637783375,-641.36264653885,-1874.6237312949
0,2517.93791204694,-661.815439472004,-1856.12247257493
0,2539.79222654096,-712.880804737278,-1826.91142180368
0,2541.87761802226,-763.946170002552,-1777.93144801971
0,2543.96305236218,-830.15642898011,-1713.80662338207
0,2545.91576446894,-896.366687957669,-1649.54907651128
