"NumTransactionsExcludingPopular","seasonal","trend","remainder"
121,6160.97391329213,7420.02418200186,-13459.998095294
122,6390.13330367267,8067.34821584261,-14335.4815195153
91,6390.13330367267,8714.67224968336,-15013.805553356
62,6390.13330367267,9051.16987228772,-15379.3031759604
120,6390.13330367267,9387.66749489207,-15657.8007985647
127,6328.82598529691,9679.13278633991,-15880.9587716368
117,6328.82598529691,9970.59807778776,-16182.4240630847
137,6328.82598529691,10198.6921455466,-16390.5181308435
145,6328.82598529691,10426.7862133054,-16610.6121986023
115,6356.31808357841,10582.4340484207,-16823.7521319991
125,6356.31808357841,10738.081883536,-16969.3999671144
124,6356.31808357841,10848.7058343376,-17081.023917916
100,6356.31808357841,10959.3297851393,-17215.6478687177
104,6695.63289515209,11044.2701164843,-17635.9030116364
89,6695.63289515209,11129.2104478293,-17735.8433429814
83,6695.63289515209,11219.3217305158,-17831.9546256679
7,6695.63289515209,11309.4330132024,-17998.0659083545
96,6840.70426367603,11394.3731755271,-18139.0774392031
112,6840.70426367603,11479.3133378517,-18208.0176015278
113,6840.70426367603,11511.8540985314,-18239.5583622074
125,6840.70426367603,11544.3948592111,-18260.0991228871
103,6945.0293940465,11520.675384585,-18362.7047786315
108,6945.0293940465,11496.955909959,-18333.9853040055
103,6945.0293940465,11397.367578648,-18239.3969726945
118,6945.0293940465,11297.7792473371,-18124.8086413836
74,7242.57643970185,11126.3705447036,-18294.9469844055
89,7242.57643970185,10954.9618420701,-18108.5382817719
98,7242.57643970185,10792.7853642363,-17937.3618039381
39,7242.57643970185,10630.6088864024,-17834.1853261043
57,7294.29553174762,10528.0714984238,-17765.3670301714
24,7294.29553174762,10425.5341104451,-17695.8296421927
4,7294.29553174762,10354.5350758535,-17644.8306076012
72,7294.29553174762,10283.536041262,-17505.8315730096
94,6954.64074202151,10226.1866913749,-17086.8274333964
83,6954.64074202151,10168.8373414878,-17040.4780835093
93,6954.64074202151,10127.0702326514,-16988.7109746729
91,6954.64074202151,10085.303123815,-16948.9438658365
74,7107.7874645824,10018.3036514209,-17052.0911160033
70,7107.7874645824,9951.30417902683,-16989.0916436092
82,7107.7874645824,9837.05910354259,-16862.846568125
73,7107.7874645824,9722.81402805834,-16757.6014926407
77,7415.62544649204,9625.24924558766,-16963.8746920797
81,7415.62544649204,9527.68446311697,-16862.309909609
87,7415.62544649204,9469.41665253789,-16798.0420990299
