,WikipediaTrend
2011-08-17,4525.0
2011-08-18,4419.0
2011-08-19,3729.0
2011-08-20,2675.0
2011-08-21,7366.0
2011-08-22,3705.0
2011-08-23,3570.0
2011-08-24,8380.0
2011-08-25,5135.0
2011-08-26,3582.0
2011-08-27,2824.0
2011-08-28,2434.0
2011-08-29,2938.0
2011-08-30,2849.0
2011-08-31,3297.0
2011-09-01,3280.0
2011-09-02,3083.0
2011-09-03,2127.0
2011-09-04,2111.0
2011-09-05,2637.0
2011-09-06,2981.0
2011-09-07,3200.0
2011-09-08,3558.0
2011-09-09,3658.0
2011-09-10,2478.0
2011-09-11,2175.0
2011-09-12,2316.0
2011-09-13,2370.0
2011-09-14,2392.0
2011-09-15,2431.0
2011-09-16,2191.0
2011-09-17,1884.0
2011-09-18,1769.0
2011-09-19,2021.0
2011-09-20,2392.0
2011-09-21,2209.0
2011-09-22,1997.0
2011-09-23,2089.0
2011-09-24,1641.0
2011-09-25,1564.0
2011-09-26,2045.0
2011-09-27,1933.0
2011-09-28,2006.0
2011-09-29,2338.0
2011-09-30,2693.0
2011-10-01,1842.0
2011-10-02,2108.0
2011-10-03,2912.0
2011-10-04,2888.0
2011-10-05,3355.0
2011-10-06,2312.0
2011-10-07,2435.0
2011-10-08,2372.0
2011-10-09,2309.0
2011-10-10,2647.0
2011-10-11,3285.0
2011-10-12,3196.0
2011-10-13,2844.0
2011-10-14,2520.0
2011-10-15,1823.0
2011-10-16,1828.0
2011-10-17,2810.0
2011-10-18,4988.0
2011-10-19,4718.0
2011-10-20,3244.0
2011-10-21,3040.0
2011-10-22,2368.0
2011-10-23,2846.0
2011-10-24,3747.0
2011-10-25,3536.0
2011-10-26,3507.0
2011-10-27,2730.0
2011-10-28,2375.0
2011-10-29,1715.0
2011-10-30,1754.0
2011-10-31,2540.0
2011-11-01,8692.0
2011-11-02,3821.0
2011-11-03,3006.0
2011-11-04,2388.0
2011-11-05,1794.0
2011-11-06,1895.0
2011-11-07,2295.0
2011-11-08,2153.0
2011-11-09,2077.0
2011-11-10,2153.0
2011-11-11,1831.0
2011-11-12,1689.0
2011-11-13,1865.0
2011-11-14,2372.0
2011-11-15,3738.0
2011-11-16,2558.0
2011-11-17,2226.0
2011-11-18,2126.0
2011-11-19,1651.0
2011-11-20,2022.0
2011-11-21,2959.0
2011-11-22,3349.0
2011-11-23,2957.0
2011-11-24,2402.0
2011-11-25,2232.0
2011-11-26,2840.0
2011-11-27,2913.0
2011-11-28,3397.0
2011-11-29,3791.0
2011-11-30,2945.0
2011-12-01,2686.0
2011-12-02,2212.0
2011-12-03,2015.0
2011-12-04,1945.0
2011-12-05,2520.0
2011-12-06,2754.0
2011-12-07,2319.0
2011-12-08,2073.0
2011-12-09,1836.0
2011-12-10,1568.0
2011-12-11,1713.0
2011-12-12,2115.0
2011-12-13,2093.0
2011-12-14,2003.0
2011-12-15,2035.0
2011-12-16,1824.0
2011-12-17,1445.0
2011-12-18,1469.0
2011-12-19,1857.0
2011-12-20,1845.0
2011-12-21,2293.0
2011-12-22,2939.0
2011-12-23,2880.0
2011-12-24,2880.0
2011-12-25,2880.0
2011-12-26,2712.0
2011-12-27,2485.0
2011-12-28,2123.0
2011-12-29,2322.0
2011-12-30,2266.0
2011-12-31,2314.0
2012-01-01,1985.0
2012-01-02,2521.0
2012-01-03,2700.0
2012-01-04,2620.0
2012-01-05,2552.0
2012-01-06,2690.0
2012-01-07,2199.0
2012-01-08,2111.0
2012-01-09,2727.0
2012-01-10,3285.0
2012-01-11,7170.0
2012-01-12,3122.0
2012-01-13,2363.0
2012-01-14,2105.0
2012-01-15,2345.0
2012-01-16,22979.0
2012-01-17,10336.0
2012-01-18,6712.0
2012-01-19,5141.0
2012-01-20,4303.0
2012-01-21,3508.0
2012-01-22,3382.0
2012-01-23,3719.0
2012-01-24,3463.0
2012-01-25,3263.0
2012-01-26,2872.0
2012-01-27,2939.0
2012-01-28,2542.0
2012-01-29,2613.0
2012-01-30,3113.0
2012-01-31,2901.0
2012-02-01,2827.0
2012-02-02,2803.0
2012-02-03,4837.0
2012-02-04,3309.0
2012-02-05,2991.0
2012-02-06,3186.0
2012-02-07,2872.0
2012-02-08,2718.0
2012-02-09,2757.0
2012-02-10,2532.0
2012-02-11,2137.0
2012-02-12,2306.0
2012-02-13,2578.0
2012-02-14,2705.0
2012-02-15,3309.0
2012-02-16,3314.0
2012-02-17,2391.0
2012-02-18,1924.0
2012-02-19,2108.0
2012-02-20,2395.0
2012-02-21,2711.0
2012-02-22,2960.0
2012-02-23,3994.0
2012-02-24,3842.0
2012-02-25,2246.0
2012-02-26,2170.0
2012-02-27,2532.0
2012-02-28,2636.0
2012-02-29,2601.0
2012-03-01,2559.0
2012-03-02,5387.0
2012-03-03,3068.0
2012-03-04,2562.0
2012-03-05,2546.0
2012-03-06,2500.0
2012-03-07,2383.0
2012-03-08,2222.0
2012-03-09,2127.0
2012-03-10,2038.0
2012-03-11,1964.0
2012-03-12,2264.0
2012-03-13,2245.0
2012-03-14,2153.0
2012-03-15,2195.0
2012-03-16,2154.0
2012-03-17,1703.0
2012-03-18,2014.0
2012-03-19,2230.0
2012-03-20,2370.0
2012-03-21,2072.0
2012-03-22,2184.0
2012-03-23,1973.0
2012-03-24,1574.0
2012-03-25,1691.0
2012-03-26,1972.0
2012-03-27,2080.0
2012-03-28,2106.0
2012-03-29,2288.0
2012-03-30,1854.0
2012-03-31,1906.0
2012-04-01,3694.0
2012-04-02,4241.0
2012-04-03,4469.0
2012-04-04,3324.0
2012-04-05,3429.0
2012-04-06,2643.0
2012-04-07,2657.0
2012-04-08,2784.0
2012-04-09,2650.0
2012-04-10,2738.0
2012-04-11,3493.0
2012-04-12,2931.0
2012-04-13,2442.0
2012-04-14,1929.0
2012-04-15,1972.0
2012-04-16,2438.0
2012-04-17,3191.0
2012-04-18,3162.0
2012-04-19,2387.0
2012-04-20,2329.0
2012-04-21,2060.0
2012-04-22,2096.0
2012-04-23,2384.0
2012-04-24,2331.0
2012-04-25,3274.0
2012-04-26,4291.0
2012-04-27,3453.0
2012-04-28,2491.0
2012-04-29,2395.0
2012-04-30,2702.0
2012-05-01,2770.0
2012-05-02,3349.0
2012-05-03,2574.0
2012-05-04,2336.0
2012-05-05,1925.0
2012-05-06,2135.0
2012-05-07,2381.0
2012-05-08,2448.0
2012-05-09,2444.0
2012-05-10,3315.0
2012-05-11,3126.0
2012-05-12,3280.0
2012-05-13,3285.0
2012-05-14,3399.0
2012-05-15,3176.0
2012-05-16,2755.0
2012-05-17,2539.0
