,TotalBitcoins
2009-12-31 18:15:05,1623400.0
2010-01-01 18:15:05,1629350.0
2010-01-02 18:15:05,1635850.0
2010-01-03 18:15:05,1644000.0
2010-01-04 18:15:05,1653500.0
2010-01-05 18:15:05,1663900.0
2010-01-06 18:15:05,1671800.0
2010-01-07 18:15:05,1679750.0
2010-01-08 18:15:05,1687250.0
2010-01-09 18:15:05,1694650.0
2010-01-10 18:15:05,1704200.0
2010-01-11 18:15:05,1711900.0
2010-01-12 18:15:05,1720200.0
2010-01-13 18:15:05,1728100.0
2010-01-14 18:15:05,1736000.0
2010-01-15 18:15:05,1742800.0
2010-01-16 18:15:05,1749500.0
2010-01-17 18:15:05,1755650.0
2010-01-18 18:15:05,1762150.0
2010-01-19 18:15:05,1768100.0
2010-01-20 18:15:05,1775100.0
2010-01-21 18:15:05,1784000.0
2010-01-22 18:15:05,1791500.0
2010-01-23 18:15:05,1799050.0
2010-01-24 18:15:05,1806300.0
2010-01-25 18:15:05,1816450.0
2010-01-26 18:15:05,1826550.0
2010-01-27 18:15:05,1835400.0
2010-01-28 18:15:05,1844050.0
2010-01-29 18:15:05,1853700.0
2010-01-30 18:15:05,1862700.0
2010-01-31 18:15:05,1873000.0
2010-02-01 18:15:05,1881950.0
2010-02-02 18:15:05,1889050.0
2010-02-03 18:15:05,1901200.0
2010-02-04 18:15:05,1912750.0
2010-02-05 18:15:05,1925000.0
2010-02-06 18:15:05,1934550.0
2010-02-07 18:15:05,1944900.0
2010-02-08 18:15:05,1955450.0
2010-02-09 18:15:05,1965900.0
2010-02-10 18:15:05,1973850.0
2010-02-11 18:15:05,1982750.0
2010-02-12 18:15:05,1992100.0
2010-02-13 18:15:05,2003300.0
2010-02-14 18:15:05,2013600.0
2010-02-15 18:15:05,2022850.0
2010-02-16 18:15:05,2031600.0
2010-02-17 18:15:05,2043200.0
2010-02-18 18:15:05,2054650.0
2010-02-19 18:15:05,2063600.0
2010-02-20 18:15:05,2074700.0
2010-02-21 18:15:05,2085400.0
2010-02-22 18:15:05,2098150.0
2010-02-23 18:15:05,2110700.0
2010-02-24 18:15:05,2120200.0
2010-02-25 18:15:05,2127600.0
2010-02-26 18:15:05,2136100.0
2010-02-27 18:15:05,2144750.0
2010-02-28 18:15:05,2152850.0
2010-03-01 18:15:05,2162150.0
2010-03-02 18:15:05,2171950.0
2010-03-03 18:15:05,2179350.0
2010-03-04 18:15:05,2188450.0
2010-03-05 18:15:05,2197200.0
2010-03-06 18:15:05,2206350.0
2010-03-07 18:15:05,2215000.0
2010-03-08 18:15:05,2221800.0
2010-03-09 18:15:05,2229200.0
2010-03-10 18:15:05,2236650.0
2010-03-11 18:15:05,2243950.0
2010-03-12 18:15:05,2249850.0
2010-03-13 18:15:05,2257750.0
2010-03-14 18:15:05,2264000.0
2010-03-15 18:15:05,2270200.0
2010-03-16 18:15:05,2277000.0
2010-03-17 18:15:05,2283150.0
2010-03-18 18:15:05,2290950.0
2010-03-19 18:15:05,2297600.0
2010-03-20 18:15:05,2307250.0
2010-03-21 18:15:05,2316300.0
2010-03-22 18:15:05,2325150.0
2010-03-23 18:15:05,2335400.0
2010-03-24 18:15:05,2344100.0
2010-03-25 18:15:05,2353400.0
2010-03-26 18:15:05,2363150.0
2010-03-27 18:15:05,2371850.0
2010-03-28 18:15:05,2381550.0
2010-03-29 18:15:05,2391150.0
2010-03-30 18:15:05,2401700.0
2010-03-31 18:15:05,2412050.0
2010-04-01 18:15:05,2421500.0
2010-04-02 18:15:05,2428900.0
2010-04-03 18:15:05,2437200.0
2010-04-04 18:15:05,2445500.0
2010-04-05 18:15:05,2453800.0
2010-04-06 18:15:05,2461050.0
2010-04-07 18:15:05,2470700.0
2010-04-08 18:15:05,2480450.0
