"NumTransactions","seasonal","trend","remainder"
87,6762.45374361415,2474.14203398712,-9149.59577760127
75,6762.45374361415,2237.92422445929,-8925.37796807343
74,6762.45374361415,1935.04787261599,-8623.50161623014
65,6762.45374361415,1632.1715207727,-8329.62526438684
67,6709.32826286801,1378.9125157303,-8021.24077859831
64,6709.32826286801,1125.6535106879,-7770.98177355591
51,6709.32826286801,907.66706592548,-7565.99532879349
62,6709.32826286801,689.680621163059,-7337.00888403107
45,7000.26912728414,469.344175483021,-7424.61330276716
30,7000.26912728414,249.007729802983,-7219.27685708713
33,7000.26912728414,76.3657787960121,-7043.63490608015
57,7000.26912728414,-96.2761722109585,-6846.99295507318
62,6949.3376874616,-276.224873527972,-6611.11281393363
65,6949.3376874616,-456.173574844985,-6428.16411261662
49,6949.3376874616,-617.197173421559,-6283.14051404005
76,6949.3376874616,-778.220771998133,-6095.11691546347
70,6676.10068100576,-891.856561813753,-5714.244119192
65,6676.10068100576,-1005.49235162937,-5605.60832937638
71,6676.10068100576,-1182.01975614784,-5423.08092485792
78,6676.10068100576,-1358.5471606663,-5239.55352033945
70,6487.0805217382,-1573.75766364101,-4843.3228580972
73,6487.0805217382,-1788.96816661571,-4625.1123551225
83,6487.0805217382,-2090.86478101258,-4313.21574072562
96,6487.0805217382,-2392.76139540945,-3998.31912632875
100,5738.72250258497,-2760.80690752474,-2877.91559506023
91,5738.72250258497,-3128.85241964002,-2518.87008294495
79,5738.72250258497,-3434.10160267539,-2225.62089990958
73,5738.72250258497,-3739.35078571076,-1926.37171687421
84,5919.73876328079,-3983.78636686858,-1851.95239641221
77,5919.73876328079,-4228.2219480264,-1614.51681525439
100,5919.73876328079,-4465.41934561472,-1354.31941766608
96,5919.73876328079,-4702.61674320303,-1121.12202007777
102,6299.43497473032,-4984.36290575502,-1213.0720689753
85,6299.43497473032,-5266.10906830701,-948.325906423313
78,6299.43497473032,-5623.66456684186,-597.770407888462
75,6299.43497473032,-5981.22006537671,-243.214909353611
78,6500.90071597147,-6318.77525909137,-104.125456880099
58,6500.90071597147,-6656.33045280602,213.429736834558
74,6500.90071597147,-6954.4155204967,527.514804525229
66,6500.90071597147,-7252.50058818737,817.5998722159
99,6896.64004047463,-7486.95291529789,689.312874823258
85,6896.64004047463,-7721.40524240841,909.765201933781
49,6896.64004047463,-7863.62278807373,1015.9827475991
52,6896.64004047463,-8005.84033373905,1161.20029326442
108,6802.14544115883,-8170.6447061975,1476.49926503867
94,6802.14544115883,-8335.44907865595,1627.30363749712
121,6802.14544115883,-8532.84967691913,1851.7042357603
104,6802.14544115883,-8730.25027518231,2032.10483402348
106,6675.43694797844,-8931.29680002322,2361.85985204478
125,6675.43694797844,-9132.34332486412,2581.90637688569
103,6675.43694797844,-9308.04945086744,2735.61250288901
104,6675.43694797844,-9483.75557687076,2912.31862889233
113,6782.8042610513,-9556.48704159356,2886.68278054226
117,6782.8042610513,-9629.21850631636,2963.41424526506
121,6782.8042610513,-9560.1983419018,2898.39408085049
163,6782.8042610513,-9491.17817748723,2871.37391643593
201,6563.69308475512,-9247.09547633708,2884.40239158195
225,6563.69308475512,-9003.01277518692,2664.3196904318
175,6563.69308475512,-8597.26338593212,2208.57030117699
188,6563.69308475512,-8191.51399667731,1815.82091192219
152,6617.17262705623,-7713.08057490202,1247.90794784579
169,6617.17262705623,-7234.64715312674,786.474526070503
144,6617.17262705623,-6688.19222941782,215.019602361582
158,6617.17262705623,-6141.7373057089,-317.435321347339
159,7375.32363058971,-5589.13347183764,-1627.19015875208
170,7375.32363058971,-5036.52963796638,-2168.79399262334
138,7375.32363058971,-4546.72001092312,-2690.60361966659
164,7375.32363058971,-4056.91038387987,-3154.41324670984
156,7654.8232548232,-3486.48713510539,-4012.33611971781
150,7654.8232548232,-2916.06388633091,-4588.75936849229
119,7654.8232548232,-2557.42977437604,-4978.39348044716
132,7654.8232548232,-2198.79566242117,-5324.02759240202
163,7699.58362726495,-1957.77909095746,-5578.80453630749
192,1563.76365808168,-1716.76251949374,344.998861412054
208,1675.01668178517,-1629.6651464332,162.64846464803
158,1675.01668178517,-1542.56777337266,25.5510915874916
159,1675.01668178517,-1616.16337430924,100.146692524068
150,1675.01668178517,-1689.75897524581,164.742293460644
148,1606.48841158268,-1816.34050793454,357.852096351859
191,1606.48841158268,-1942.92204062327,527.433629040589
154,1606.48841158268,-2098.97739096382,646.488979381137
168,1606.48841158268,-2255.03274130437,816.544329721684
160,1542.47645726224,-2475.68766143994,1093.2112041777
159,1542.47645726224,-2696.34258157551,1312.86612431327
137,1542.47645726224,-2946.99942633111,1541.52296906887
135,1542.47645726224,-3197.65627108672,1790.17981382447
124,1639.14842531264,-3443.69828374343,1928.54985843078
130,1639.14842531264,-3689.74029640014,2180.59187108749
120,1639.14842531264,-3954.00514787271,2434.85672256007
140,1639.14842531264,-4218.26999934529,2719.12157403264
187,1710.40348673351,-4462.91879172799,2939.51530499447
152,1710.40348673351,-4707.56758411069,3149.16409737718
152,1710.40348673351,-4914.47510744971,3356.07162071619
148,1710.40348673351,-5121.38263078873,3558.97914405521
207,2014.73923692275,-5333.97494678667,3526.23570986392
208,2014.73923692275,-5546.56726278461,3739.82802586186
178,2014.73923692275,-5748.7383492806,3911.99911235785
