Date,WikipediaTrend,adjusted,detrended,residual,trend
2013-11-05,29997.0,29997.0,13015.406086273506,13015.406086273506,16981.593913726494
2013-11-06,33474.0,33474.0,16483.040249169833,16483.040249169833,16990.959750830167
2013-11-07,27883.0,27883.0,10882.711476806206,10882.711476806206,17000.288523193794
2013-11-08,27565.0,27565.0,10555.41982308889,10555.41982308889,17009.58017691111
2013-11-09,26469.0,26469.0,9450.165341924152,9450.165341924152,17018.834658075848
2013-11-10,23020.0,23020.0,5991.948087218265,5991.948087218265,17028.051912781735
2013-11-11,23143.0,23143.0,6105.768112877478,6105.768112877478,17037.23188712252
2013-11-12,27076.0,27076.0,10029.625472808078,10029.625472808078,17046.37452719192
2013-11-13,28764.0,28764.0,11708.520220916314,11708.520220916314,17055.479779083686
2013-11-14,31584.0,31584.0,14519.45241110845,14519.45241110845,17064.54758889155
2013-11-15,34897.0,34897.0,17823.42209729077,17823.42209729077,17073.57790270923
2013-11-16,25776.0,25776.0,8693.429333369528,8693.429333369528,17082.570666630472
2013-11-17,23099.0,23099.0,6007.474173250983,6007.474173250983,17091.525826749017
2013-11-18,70053.0,70053.0,52952.55667084142,52952.55667084142,17100.44332915858
2013-11-19,110784.0,110784.0,93674.67688004709,93674.67688004709,17109.323119952907
2013-11-20,71382.0,71382.0,54263.834854774264,54263.834854774264,17118.165145225736
2013-11-21,62841.0,62841.0,45714.03064892921,45714.03064892921,17126.96935107079
2013-11-22,61973.0,61973.0,44837.26431641818,44837.26431641818,17135.73568358182
2013-11-23,38039.0,38039.0,20894.535911147457,20894.535911147457,17144.464088852543
2013-11-24,34256.0,34256.0,17102.845487023304,17102.845487023304,17153.154512976696
2013-11-25,39051.0,39051.0,21889.19309795198,21889.19309795198,17161.80690204802
2013-11-26,44349.0,44349.0,27178.57879783976,27178.57879783976,17170.42120216024
2013-11-27,74206.0,74206.0,57027.002640592895,57027.002640592895,17178.9973594071
2013-11-28,131842.0,131842.0,114654.46468011767,114654.46468011767,17187.53531988233
2013-11-29,114020.0,114020.0,96823.96497032035,96823.96497032035,17196.03502967966
2013-11-30,86405.0,86405.0,69200.50356510718,69200.50356510718,17204.496434892826
2013-12-01,51748.0,51748.0,34535.080518384435,34535.080518384435,17212.91948161557
2013-12-02,78289.0,78289.0,61067.69588405838,61067.69588405838,17221.304115941613
2013-12-03,77023.0,77023.0,59793.3497160353,59793.3497160353,17229.6502839647
2013-12-04,60709.0,60709.0,43471.042068221446,43471.042068221446,17237.957931778557
2013-12-05,94198.0,94198.0,76951.77299452307,76951.77299452307,17246.22700547693
2013-12-06,96138.0,96138.0,78883.54254884647,78883.54254884647,17254.457451153536
2013-12-07,69786.0,69786.0,52523.35078509788,52523.35078509788,17262.649214902118
2013-12-08,47142.0,47142.0,29871.197757183585,29871.197757183585,17270.802242816415
2013-12-09,57015.0,57015.0,39736.083519009844,39736.083519009844,17278.916480990156
2013-12-10,58163.0,58163.0,40876.008124482934,40876.008124482934,17286.99187551707
2013-12-11,58345.0,58345.0,41049.9716275091,41049.9716275091,17295.028372490902
2013-12-12,49319.0,49319.0,32015.97408199462,32015.97408199462,17303.02591800538
