"EstimatedTransactionVolume","seasonal","trend","remainder"
0,-5446.1951103532,26998.4960640186,-21552.3009536654
0,5874.33724442473,23796.6048492908,-29670.9420937155
0,5874.33724442473,20594.713634563,-26469.0508789877
0,5874.33724442473,18775.7627973786,-24650.1000418033
0,5874.33724442473,16956.8119601942,-22831.1492046189
0,-900.952922223245,17630.9757562148,-16730.0228339916
0,-900.952922223245,18305.1395522354,-17404.1866300122
0,-900.952922223245,20491.8931125135,-19590.9401902902
0,-900.952922223245,22678.6466727915,-21777.6937505682
0,-7003.6913375334,24924.1274358359,-17920.4360983025
0,-7003.6913375334,27169.6081988804,-20165.916861347
0,-7003.6913375334,28775.7939013192,-21772.1025637858
2300,-7003.6913375334,30381.979603758,-21078.2882662246
0,2801.38428950335,31457.6978180098,-34259.0821075131
0,2801.38428950335,32533.4160322615,-35334.8003217649
50,2801.38428950335,32625.7338465317,-35377.118136035
300,2801.38428950335,32718.0516608019,-35219.4359503052
0,-2045.03200146563,32531.9982015187,-30486.966200053
