,NumTransactionsExcluding100
2011-07-06,10403.0
2011-07-07,7797.0
2011-07-08,7106.0
2011-07-09,7325.0
2011-07-10,6888.0
2011-07-11,8592.0
2011-07-12,8485.0
2011-07-13,9015.0
2011-07-14,7427.0
2011-07-15,7606.0
2011-07-16,7547.0
2011-07-17,8095.0
2011-07-18,7428.0
2011-07-19,8369.0
2011-07-20,7776.0
2011-07-21,7749.0
2011-07-22,7502.0
2011-07-23,7274.0
2011-07-24,7495.0
2011-07-25,8113.0
2011-07-26,7210.0
2011-07-27,7408.0
2011-07-28,6784.0
2011-07-29,6718.0
2011-07-30,6029.0
2011-07-31,6216.0
2011-08-01,7409.0
2011-08-02,7793.0
2011-08-03,7283.0
2011-08-04,7806.0
2011-08-05,6879.0
2011-08-06,6799.0
2011-08-07,6305.0
2011-08-08,6340.0
2011-08-09,7707.0
2011-08-10,7178.0
2011-08-11,7708.0
2011-08-12,6450.0
2011-08-13,6333.0
2011-08-14,6665.0
2011-08-15,7310.0
2011-08-16,6641.0
2011-08-17,7124.0
2011-08-18,6902.0
2011-08-19,6889.0
2011-08-20,6673.0
2011-08-21,6952.0
2011-08-22,7687.0
2011-08-23,6646.0
2011-08-24,7005.0
2011-08-25,6491.0
2011-08-26,7218.0
2011-08-27,6510.0
2011-08-28,5137.0
2011-08-29,6387.0
2011-08-30,7343.0
2011-08-31,6873.0
2011-09-01,6483.0
2011-09-02,6478.0
2011-09-03,5770.0
2011-09-04,5247.0
2011-09-05,6186.0
2011-09-06,5960.0
2011-09-07,5661.0
2011-09-08,5129.0
2011-09-09,6083.0
2011-09-10,5973.0
2011-09-11,5499.0
2011-09-12,5639.0
2011-09-13,5745.0
2011-09-14,6002.0
2011-09-15,5661.0
2011-09-16,5762.0
2011-09-17,5822.0
2011-09-18,5539.0
2011-09-19,5499.0
2011-09-20,6317.0
2011-09-21,7362.0
2011-09-22,6410.0
2011-09-23,5703.0
2011-09-24,5855.0
2011-09-25,5484.0
2011-09-26,5608.0
